snr_db           ber
   0.0    0.24266250
   1.8    0.20939375
   3.6    0.17838750
   5.4    0.14079375
   7.2    0.09764375
   9.0    0.05687500
  10.8    0.02908750
  12.6    0.01238125
  14.4    0.00346875
  16.2    0.00081875
  18.0    0.00021875
  19.8    0.00005625
  21.6    0.00000000
  23.4    0.00000000
  25.2    0.00000000
  27.0    0.00000000

time elapsed 0day 2hour 7min 39sec 
