snr_db           ber
   0.0    0.22887775
   1.8    0.19315937
   3.6    0.15667987
   5.4    0.12080975
   7.2    0.08698750
   9.0    0.05814875
  10.8    0.03600400
  12.6    0.02092013
  14.4    0.01114375
  16.2    0.00573162
  18.0    0.00276512
  19.8    0.00134337
  21.6    0.00059563
  23.4    0.00026787
  25.2    0.00012075
  27.0    0.00005300

time elapsed 0day 0hour 36min 49sec 
